query_id,stage,strategy_a,strategy_b,size_a,size_b,overlap_count,overlap_rate,jaccard
Q021,pre_chunk_top50,simple,rrf,50,50,49,0.98,0.9607843137254902
Q021,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q021,final_doc_top10,simple,rrf,10,10,9,0.9,0.8181818181818182
Q021,pre_doc_top50,simple,weighted,27,24,23,0.9583333333333334,0.8214285714285714
Q021,pre_chunk_top50,simple,weighted,50,50,44,0.88,0.7857142857142857
Q021,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q021,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q021,pre_doc_top50,rrf,weighted,26,24,22,0.9166666666666666,0.7857142857142857
Q021,pre_chunk_top50,rrf,weighted,50,50,44,0.88,0.7857142857142857
Q021,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q021,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q022,pre_doc_top50,simple,rrf,19,19,19,1.0,1.0
Q022,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q022,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q022,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q022,pre_doc_top50,simple,weighted,19,19,12,0.631578947368421,0.46153846153846156
Q022,pre_chunk_top50,simple,weighted,50,50,38,0.76,0.6129032258064516
Q022,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q022,final_doc_top10,simple,weighted,10,10,7,0.7,0.5384615384615384
Q022,pre_doc_top50,rrf,weighted,19,19,12,0.631578947368421,0.46153846153846156
Q022,pre_chunk_top50,rrf,weighted,50,50,38,0.76,0.6129032258064516
Q022,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q022,final_doc_top10,rrf,weighted,10,10,7,0.7,0.5384615384615384
Q023,pre_doc_top50,simple,rrf,32,32,32,1.0,1.0
Q023,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q023,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q023,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q023,pre_doc_top50,simple,weighted,32,24,23,0.9583333333333334,0.696969696969697
Q023,pre_chunk_top50,simple,weighted,50,50,40,0.8,0.6666666666666666
Q023,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q023,final_doc_top10,simple,weighted,10,10,7,0.7,0.5384615384615384
Q023,pre_doc_top50,rrf,weighted,32,24,23,0.9583333333333334,0.696969696969697
Q023,pre_chunk_top50,rrf,weighted,50,50,40,0.8,0.6666666666666666
Q023,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q023,final_doc_top10,rrf,weighted,10,10,7,0.7,0.5384615384615384
Q024,pre_doc_top50,simple,rrf,34,34,34,1.0,1.0
Q024,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q024,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q024,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q024,pre_doc_top50,simple,weighted,34,32,32,1.0,0.9411764705882353
Q024,pre_chunk_top50,simple,weighted,50,50,46,0.92,0.8518518518518519
Q024,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q024,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q024,pre_doc_top50,rrf,weighted,34,32,32,1.0,0.9411764705882353
Q024,pre_chunk_top50,rrf,weighted,50,50,46,0.92,0.8518518518518519
Q024,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q024,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q025,pre_doc_top50,simple,rrf,38,37,37,1.0,0.9736842105263158
Q025,pre_chunk_top50,simple,rrf,50,50,49,0.98,0.9607843137254902
Q025,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q025,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q025,pre_doc_top50,simple,weighted,38,33,31,0.9393939393939394,0.775
Q025,pre_chunk_top50,simple,weighted,50,50,42,0.84,0.7241379310344828
Q025,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q025,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q025,pre_doc_top50,rrf,weighted,37,33,31,0.9393939393939394,0.7948717948717948
Q025,pre_chunk_top50,rrf,weighted,50,50,43,0.86,0.7543859649122807
Q025,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q025,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q026,pre_doc_top50,simple,rrf,20,20,20,1.0,1.0
Q026,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q026,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q026,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q026,pre_doc_top50,simple,weighted,20,21,19,0.95,0.8636363636363636
Q026,pre_chunk_top50,simple,weighted,50,50,47,0.94,0.8867924528301887
Q026,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q026,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q026,pre_doc_top50,rrf,weighted,20,21,19,0.95,0.8636363636363636
Q026,pre_chunk_top50,rrf,weighted,50,50,47,0.94,0.8867924528301887
Q026,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q026,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q027,pre_doc_top50,simple,rrf,30,29,29,1.0,0.9666666666666667
Q027,pre_chunk_top50,simple,rrf,50,50,49,0.98,0.9607843137254902
Q027,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q027,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q027,pre_doc_top50,simple,weighted,30,30,28,0.9333333333333333,0.875
Q027,pre_chunk_top50,simple,weighted,50,50,46,0.92,0.8518518518518519
Q027,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q027,final_doc_top10,simple,weighted,10,10,10,1.0,1.0
Q027,pre_doc_top50,rrf,weighted,29,30,28,0.9655172413793104,0.9032258064516129
Q027,pre_chunk_top50,rrf,weighted,50,50,47,0.94,0.8867924528301887
Q027,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q027,final_doc_top10,rrf,weighted,10,10,10,1.0,1.0
