query_id,stage,strategy_a,strategy_b,size_a,size_b,overlap_count,overlap_rate,jaccard
Q018,pre_doc_top50,rrf,weighted,28,31,26,0.9285714285714286,0.7878787878787878
Q018,pre_chunk_top50,rrf,weighted,50,50,43,0.86,0.7543859649122807
Q018,final_doc_top5,rrf,weighted,5,5,2,0.4,0.25
Q018,final_doc_top10,rrf,weighted,10,10,6,0.6,0.42857142857142855
Q019,pre_doc_top50,simple,rrf,28,28,28,1.0,1.0
Q019,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q019,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q019,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q019,pre_doc_top50,simple,weighted,28,28,26,0.9285714285714286,0.8666666666666667
Q019,pre_chunk_top50,simple,weighted,50,50,47,0.94,0.8867924528301887
Q019,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q019,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q019,pre_doc_top50,rrf,weighted,28,28,26,0.9285714285714286,0.8666666666666667
Q019,pre_chunk_top50,rrf,weighted,50,50,47,0.94,0.8867924528301887
Q019,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q019,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q020,pre_doc_top50,simple,rrf,32,32,32,1.0,1.0
Q020,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q020,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q020,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q020,pre_doc_top50,simple,weighted,32,32,28,0.875,0.7777777777777778
Q020,pre_chunk_top50,simple,weighted,50,50,43,0.86,0.7543859649122807
Q020,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q020,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q020,pre_doc_top50,rrf,weighted,32,32,28,0.875,0.7777777777777778
Q020,pre_chunk_top50,rrf,weighted,50,50,43,0.86,0.7543859649122807
Q020,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q020,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q021,pre_doc_top50,simple,rrf,13,12,12,1.0,0.9230769230769231
Q021,pre_chunk_top50,simple,rrf,50,50,49,0.98,0.9607843137254902
Q021,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q021,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q021,pre_doc_top50,simple,weighted,13,12,11,0.9166666666666666,0.7857142857142857
Q021,pre_chunk_top50,simple,weighted,50,50,48,0.96,0.9230769230769231
Q021,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q021,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q021,pre_doc_top50,rrf,weighted,12,12,11,0.9166666666666666,0.8461538461538461
Q021,pre_chunk_top50,rrf,weighted,50,50,49,0.98,0.9607843137254902
Q021,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q021,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q022,pre_doc_top50,simple,rrf,15,15,15,1.0,1.0
Q022,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q022,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q022,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q022,pre_doc_top50,simple,weighted,15,16,14,0.9333333333333333,0.8235294117647058
Q022,pre_chunk_top50,simple,weighted,50,50,45,0.9,0.8181818181818182
Q022,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q022,final_doc_top10,simple,weighted,10,10,8,0.8,0.6666666666666666
Q022,pre_doc_top50,rrf,weighted,15,16,14,0.9333333333333333,0.8235294117647058
Q022,pre_chunk_top50,rrf,weighted,50,50,45,0.9,0.8181818181818182
Q022,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q022,final_doc_top10,rrf,weighted,10,10,8,0.8,0.6666666666666666
Q023,pre_doc_top50,simple,rrf,24,24,24,1.0,1.0
Q023,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q023,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q023,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q023,pre_doc_top50,simple,weighted,24,20,16,0.8,0.5714285714285714
Q023,pre_chunk_top50,simple,weighted,50,50,35,0.7,0.5384615384615384
Q023,final_doc_top5,simple,weighted,5,5,3,0.6,0.42857142857142855
Q023,final_doc_top10,simple,weighted,10,10,6,0.6,0.42857142857142855
Q023,pre_doc_top50,rrf,weighted,24,20,16,0.8,0.5714285714285714
Q023,pre_chunk_top50,rrf,weighted,50,50,35,0.7,0.5384615384615384
Q023,final_doc_top5,rrf,weighted,5,5,3,0.6,0.42857142857142855
Q023,final_doc_top10,rrf,weighted,10,10,6,0.6,0.42857142857142855
Q024,pre_doc_top50,simple,rrf,34,34,34,1.0,1.0
Q024,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q024,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q024,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q024,pre_doc_top50,simple,weighted,34,28,28,1.0,0.8235294117647058
Q024,pre_chunk_top50,simple,weighted,50,50,42,0.84,0.7241379310344828
Q024,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q024,final_doc_top10,simple,weighted,10,10,10,1.0,1.0
Q024,pre_doc_top50,rrf,weighted,34,28,28,1.0,0.8235294117647058
Q024,pre_chunk_top50,rrf,weighted,50,50,42,0.84,0.7241379310344828
Q024,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q024,final_doc_top10,rrf,weighted,10,10,10,1.0,1.0
Q025,pre_doc_top50,simple,rrf,25,25,25,1.0,1.0
Q025,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q025,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q025,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q025,pre_doc_top50,simple,weighted,25,25,22,0.88,0.7857142857142857
Q025,pre_chunk_top50,simple,weighted,50,50,42,0.84,0.7241379310344828
Q025,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q025,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q025,pre_doc_top50,rrf,weighted,25,25,22,0.88,0.7857142857142857
Q025,pre_chunk_top50,rrf,weighted,50,50,42,0.84,0.7241379310344828
Q025,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q025,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q026,pre_doc_top50,simple,rrf,18,18,18,1.0,1.0
Q026,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q026,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q026,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q026,pre_doc_top50,simple,weighted,18,17,13,0.7647058823529411,0.5909090909090909
Q026,pre_chunk_top50,simple,weighted,50,50,41,0.82,0.6949152542372882
Q026,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q026,final_doc_top10,simple,weighted,10,10,7,0.7,0.5384615384615384
Q026,pre_doc_top50,rrf,weighted,18,17,13,0.7647058823529411,0.5909090909090909
Q026,pre_chunk_top50,rrf,weighted,50,50,41,0.82,0.6949152542372882
Q026,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q026,final_doc_top10,rrf,weighted,10,10,7,0.7,0.5384615384615384
Q027,pre_doc_top50,simple,rrf,26,26,26,1.0,1.0
Q027,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q027,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q027,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q027,pre_doc_top50,simple,weighted,26,27,26,1.0,0.9629629629629629
Q027,pre_chunk_top50,simple,weighted,50,50,49,0.98,0.9607843137254902
Q027,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q027,final_doc_top10,simple,weighted,10,10,10,1.0,1.0
Q027,pre_doc_top50,rrf,weighted,26,27,26,1.0,0.9629629629629629
Q027,pre_chunk_top50,rrf,weighted,50,50,49,0.98,0.9607843137254902
Q027,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q027,final_doc_top10,rrf,weighted,10,10,10,1.0,1.0
Q028,pre_doc_top50,simple,rrf,25,25,25,1.0,1.0
Q028,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q028,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q028,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q028,pre_doc_top50,simple,weighted,25,20,19,0.95,0.7307692307692307
Q028,pre_chunk_top50,simple,weighted,50,50,41,0.82,0.6949152542372882
Q028,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q028,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q028,pre_doc_top50,rrf,weighted,25,20,19,0.95,0.7307692307692307
Q028,pre_chunk_top50,rrf,weighted,50,50,41,0.82,0.6949152542372882
Q028,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q028,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q029,pre_doc_top50,simple,rrf,32,32,32,1.0,1.0
Q029,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q029,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q029,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q029,pre_doc_top50,simple,weighted,32,32,31,0.96875,0.9393939393939394
Q029,pre_chunk_top50,simple,weighted,50,50,49,0.98,0.9607843137254902
Q029,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q029,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q029,pre_doc_top50,rrf,weighted,32,32,31,0.96875,0.9393939393939394
Q029,pre_chunk_top50,rrf,weighted,50,50,49,0.98,0.9607843137254902
Q029,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q029,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q030,pre_doc_top50,simple,rrf,28,28,28,1.0,1.0
Q030,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q030,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q030,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q030,pre_doc_top50,simple,weighted,28,27,24,0.8888888888888888,0.7741935483870968
Q030,pre_chunk_top50,simple,weighted,50,50,42,0.84,0.7241379310344828
Q030,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q030,final_doc_top10,simple,weighted,10,10,10,1.0,1.0
Q030,pre_doc_top50,rrf,weighted,28,27,24,0.8888888888888888,0.7741935483870968
Q030,pre_chunk_top50,rrf,weighted,50,50,42,0.84,0.7241379310344828
Q030,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q030,final_doc_top10,rrf,weighted,10,10,10,1.0,1.0
Q031,pre_doc_top50,simple,rrf,38,38,38,1.0,1.0
Q031,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q031,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q031,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q031,pre_doc_top50,simple,weighted,38,36,34,0.9444444444444444,0.85
Q031,pre_chunk_top50,simple,weighted,50,50,46,0.92,0.8518518518518519
Q031,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q031,final_doc_top10,simple,weighted,10,10,8,0.8,0.6666666666666666
Q031,pre_doc_top50,rrf,weighted,38,36,34,0.9444444444444444,0.85
Q031,pre_chunk_top50,rrf,weighted,50,50,46,0.92,0.8518518518518519
Q031,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
